Year,Age_Group,Gender,Education_Level,Samples,Income
1995,18 to 24 years,Male,Master's Degree,NA,NA
1995,25 to 34 years,Male,Master's Degree,706,48851
1995,35 to 44 years,Male,Master's Degree,1055,70118
1995,45 to 54 years,Male,Master's Degree,1114,72041
1995,55 to 64 years,Male,Master's Degree,424,62094
1995,65 years and over,Male,Master's Degree,96,47277
1995,18 to 24 years,Female,Master's Degree,NA,NA
1995,25 to 34 years,Female,Master's Degree,484,36733
1995,35 to 44 years,Female,Master's Degree,782,44808
1995,45 to 54 years,Female,Master's Degree,751,42537
1995,55 to 64 years,Female,Master's Degree,238,38871
1995,65 years and over,Female,Master's Degree,NA,NA
1995,18 to 24 years,Male,Professional Degree,NA,NA
1995,25 to 34 years,Male,Professional Degree,223,60475
1995,35 to 44 years,Male,Professional Degree,402,146114
1995,45 to 54 years,Male,Professional Degree,374,111840
1995,55 to 64 years,Male,Professional Degree,144,112922
1995,65 years and over,Male,Professional Degree,NA,NA
1995,18 to 24 years,Female,Professional Degree,NA,NA
1995,25 to 34 years,Female,Professional Degree,155,56218
1995,35 to 44 years,Female,Professional Degree,145,64341
1995,45 to 54 years,Female,Professional Degree,83,61630
1995,55 to 64 years,Female,Professional Degree,NA,NA
1995,65 years and over,Female,Professional Degree,NA,NA
1995,18 to 24 years,Male,Doctorate Degree,NA,NA
1995,25 to 34 years,Male,Doctorate Degree,84,48008
1995,35 to 44 years,Male,Doctorate Degree,248,74896
1995,45 to 54 years,Male,Doctorate Degree,320,86406
1995,55 to 64 years,Male,Doctorate Degree,150,70344
1995,65 years and over,Male,Doctorate Degree,NA,NA
1995,18 to 24 years,Female,Doctorate Degree,NA,NA
1995,25 to 34 years,Female,Doctorate Degree,NA,NA
1995,35 to 44 years,Female,Doctorate Degree,90,53121
1995,45 to 54 years,Female,Doctorate Degree,103,52093
1995,55 to 64 years,Female,Doctorate Degree,NA,NA
1995,65 years and over,Female,Doctorate Degree,NA,NA
1995,18 to 24 years,Male,9th to 12th Grade (no diploma),483,15186
1995,25 to 34 years,Male,9th to 12th Grade (no diploma),1076,20968
1995,35 to 44 years,Male,9th to 12th Grade (no diploma),1016,26229
1995,45 to 54 years,Male,9th to 12th Grade (no diploma),651,26934
1995,55 to 64 years,Male,9th to 12th Grade (no diploma),484,31128
1995,65 years and over,Male,9th to 12th Grade (no diploma),109,22778
1995,18 to 24 years,Female,9th to 12th Grade (no diploma),174,12573
1995,25 to 34 years,Female,9th to 12th Grade (no diploma),444,14665
1995,35 to 44 years,Female,9th to 12th Grade (no diploma),565,17379
1995,45 to 54 years,Female,9th to 12th Grade (no diploma),436,17904
1995,55 to 64 years,Female,9th to 12th Grade (no diploma),251,19413
1995,65 years and over,Female,9th to 12th Grade (no diploma),NA,NA
1995,18 to 24 years,Male,"Some College, No Degree",960,18586
1995,25 to 34 years,Male,"Some College, No Degree",2780,29441
1995,35 to 44 years,Male,"Some College, No Degree",3102,39268
1995,45 to 54 years,Male,"Some College, No Degree",2010,47374
1995,55 to 64 years,Male,"Some College, No Degree",851,45092
1995,65 years and over,Male,"Some College, No Degree",165,33630
1995,18 to 24 years,Female,"Some College, No Degree",920,15820
1995,25 to 34 years,Female,"Some College, No Degree",1968,21589
1995,35 to 44 years,Female,"Some College, No Degree",2011,25687
1995,45 to 54 years,Female,"Some College, No Degree",1646,28018
1995,55 to 64 years,Female,"Some College, No Degree",605,25031
1995,65 years and over,Female,"Some College, No Degree",98,22264
1996,18 to 24 years,Male,Less than 9th Grade,174,13336
1996,25 to 34 years,Male,Less than 9th Grade,481,19176
1996,35 to 44 years,Male,Less than 9th Grade,502,19798
1996,45 to 54 years,Male,Less than 9th Grade,503,21600
1996,55 to 64 years,Male,Less than 9th Grade,422,20747
1996,65 years and over,Male,Less than 9th Grade,134,26566
1996,18 to 24 years,Female,Less than 9th Grade,NA,NA
1996,25 to 34 years,Female,Less than 9th Grade,111,14244
1996,35 to 44 years,Female,Less than 9th Grade,219,14650
1996,45 to 54 years,Female,Less than 9th Grade,227,15678
1996,55 to 64 years,Female,Less than 9th Grade,152,17652
1996,65 years and over,Female,Less than 9th Grade,NA,NA
1996,18 to 24 years,Male,High School Graduate (includes equivalency),1744,18779
1996,25 to 34 years,Male,High School Graduate (includes equivalency),4642,27349
1996,35 to 44 years,Male,High School Graduate (includes equivalency),5611,35138
1996,45 to 54 years,Male,High School Graduate (includes equivalency),3425,39178
1996,55 to 64 years,Male,High School Graduate (includes equivalency),1869,38032
1996,65 years and over,Male,High School Graduate (includes equivalency),291,33142
1996,18 to 24 years,Female,High School Graduate (includes equivalency),1063,15219
1996,25 to 34 years,Female,High School Graduate (includes equivalency),2717,19526
1996,35 to 44 years,Female,High School Graduate (includes equivalency),3842,23134
1996,45 to 54 years,Female,High School Graduate (includes equivalency),3123,22833
1996,55 to 64 years,Female,High School Graduate (includes equivalency),1478,23179
1996,65 years and over,Female,High School Graduate (includes equivalency),198,25878
1996,18 to 24 years,Male,Associate Degree,202,23447
1996,25 to 34 years,Male,Associate Degree,1270,34854
1996,35 to 44 years,Male,Associate Degree,1330,41558
1996,45 to 54 years,Male,Associate Degree,1008,43745
1996,55 to 64 years,Male,Associate Degree,276,55129
1996,65 years and over,Male,Associate Degree,NA,NA
1996,18 to 24 years,Female,Associate Degree,218,16985
1996,25 to 34 years,Female,Associate Degree,1030,27020
1996,35 to 44 years,Female,Associate Degree,1312,29493
1996,45 to 54 years,Female,Associate Degree,843,31248
1996,55 to 64 years,Female,Associate Degree,251,28982
1996,65 years and over,Female,Associate Degree,NA,NA
1996,18 to 24 years,Male,Bachelor's Degree,290,26838
1996,25 to 34 years,Male,Bachelor's Degree,3201,42402
1996,35 to 44 years,Male,Bachelor's Degree,3221,58497
1996,45 to 54 years,Male,Bachelor's Degree,2446,57729
1996,55 to 64 years,Male,Bachelor's Degree,847,59580
1996,65 years and over,Male,Bachelor's Degree,182,53438
1996,18 to 24 years,Female,Bachelor's Degree,432,24967
1996,25 to 34 years,Female,Bachelor's Degree,2612,32013
1996,35 to 44 years,Female,Bachelor's Degree,2091,40521
1996,45 to 54 years,Female,Bachelor's Degree,1458,40113
1996,55 to 64 years,Female,Bachelor's Degree,452,37616
1996,65 years and over,Female,Bachelor's Degree,NA,NA
1996,18 to 24 years,Male,Master's Degree,NA,NA
1996,25 to 34 years,Male,Master's Degree,549,48143
1996,35 to 44 years,Male,Master's Degree,1082,79119
1996,45 to 54 years,Male,Master's Degree,1165,76971
1996,55 to 64 years,Male,Master's Degree,406,63652
1996,65 years and over,Male,Master's Degree,NA,NA
1996,18 to 24 years,Female,Master's Degree,NA,NA
1996,25 to 34 years,Female,Master's Degree,476,38416
1996,35 to 44 years,Female,Master's Degree,702,48994
1996,45 to 54 years,Female,Master's Degree,744,45441
1996,55 to 64 years,Female,Master's Degree,264,41668
1996,65 years and over,Female,Master's Degree,NA,NA
1996,18 to 24 years,Male,Professional Degree,NA,NA
1996,25 to 34 years,Male,Professional Degree,234,58987
1996,35 to 44 years,Male,Professional Degree,411,124647
1996,45 to 54 years,Male,Professional Degree,403,134666
1996,55 to 64 years,Male,Professional Degree,160,121601
1996,65 years and over,Male,Professional Degree,NA,NA
1996,18 to 24 years,Female,Professional Degree,NA,NA
1996,25 to 34 years,Female,Professional Degree,126,53956
1996,35 to 44 years,Female,Professional Degree,127,115966
1996,45 to 54 years,Female,Professional Degree,105,94147
1996,55 to 64 years,Female,Professional Degree,NA,NA
1996,65 years and over,Female,Professional Degree,NA,NA
1996,18 to 24 years,Male,Doctorate Degree,NA,NA
1996,25 to 34 years,Male,Doctorate Degree,117,50776
1996,35 to 44 years,Male,Doctorate Degree,210,93329
1996,45 to 54 years,Male,Doctorate Degree,337,89480
1996,55 to 64 years,Male,Doctorate Degree,180,97005
1996,65 years and over,Male,Doctorate Degree,NA,NA
1996,18 to 24 years,Female,Doctorate Degree,NA,NA
1996,25 to 34 years,Female,Doctorate Degree,86,45722
1996,35 to 44 years,Female,Doctorate Degree,85,83989
1996,45 to 54 years,Female,Doctorate Degree,107,60740
1996,55 to 64 years,Female,Doctorate Degree,NA,NA
1996,65 years and over,Female,Doctorate Degree,NA,NA
1996,18 to 24 years,Male,9th to 12th Grade (no diploma),567,15478
1996,25 to 34 years,Male,9th to 12th Grade (no diploma),1082,19910
1996,35 to 44 years,Male,9th to 12th Grade (no diploma),1051,26116
1996,45 to 54 years,Male,9th to 12th Grade (no diploma),743,34527
1996,55 to 64 years,Male,9th to 12th Grade (no diploma),482,32926
1996,65 years and over,Male,9th to 12th Grade (no diploma),82,24620
1996,18 to 24 years,Female,9th to 12th Grade (no diploma),206,12512
1996,25 to 34 years,Female,9th to 12th Grade (no diploma),378,16826
1996,35 to 44 years,Female,9th to 12th Grade (no diploma),509,18261
1996,45 to 54 years,Female,9th to 12th Grade (no diploma),438,18007
1996,55 to 64 years,Female,9th to 12th Grade (no diploma),355,19039
1996,65 years and over,Female,9th to 12th Grade (no diploma),NA,NA
1996,18 to 24 years,Male,"Some College, No Degree",983,18336
1996,25 to 34 years,Male,"Some College, No Degree",2873,32624
1996,35 to 44 years,Male,"Some College, No Degree",3157,39630
1996,45 to 54 years,Male,"Some College, No Degree",2204,46499
1996,55 to 64 years,Male,"Some College, No Degree",797,59390
1996,65 years and over,Male,"Some College, No Degree",140,29810
1996,18 to 24 years,Female,"Some College, No Degree",901,16481
1996,25 to 34 years,Female,"Some College, No Degree",1943,23738
1996,35 to 44 years,Female,"Some College, No Degree",2204,27853
1996,45 to 54 years,Female,"Some College, No Degree",1660,30666
1996,55 to 64 years,Female,"Some College, No Degree",664,27340
1996,65 years and over,Female,"Some College, No Degree",103,20477
1997,18 to 24 years,Male,Less than 9th Grade,159,13377
1997,25 to 34 years,Male,Less than 9th Grade,521,17714
1997,35 to 44 years,Male,Less than 9th Grade,470,24304
1997,45 to 54 years,Male,Less than 9th Grade,470,23261
1997,55 to 64 years,Male,Less than 9th Grade,347,28510
1997,65 years and over,Male,Less than 9th Grade,106,33425
1997,18 to 24 years,Female,Less than 9th Grade,NA,NA
1997,25 to 34 years,Female,Less than 9th Grade,127,13526
1997,35 to 44 years,Female,Less than 9th Grade,218,13820
1997,45 to 54 years,Female,Less than 9th Grade,251,15419
1997,55 to 64 years,Female,Less than 9th Grade,168,16826
1997,65 years and over,Female,Less than 9th Grade,NA,NA
1997,18 to 24 years,Male,High School Graduate (includes equivalency),1833,19470
1997,25 to 34 years,Male,High School Graduate (includes equivalency),4881,28772
1997,35 to 44 years,Male,High School Graduate (includes equivalency),5588,34790
1997,45 to 54 years,Male,High School Graduate (includes equivalency),3509,38340
1997,55 to 64 years,Male,High School Graduate (includes equivalency),1987,38179
1997,65 years and over,Male,High School Graduate (includes equivalency),256,30549
1997,18 to 24 years,Female,High School Graduate (includes equivalency),1175,15727
1997,25 to 34 years,Female,High School Graduate (includes equivalency),2675,21289
1997,35 to 44 years,Female,High School Graduate (includes equivalency),3756,23011
1997,45 to 54 years,Female,High School Graduate (includes equivalency),3198,24624
1997,55 to 64 years,Female,High School Graduate (includes equivalency),1621,25243
1997,65 years and over,Female,High School Graduate (includes equivalency),221,22523
1997,18 to 24 years,Male,Associate Degree,244,23297
1997,25 to 34 years,Male,Associate Degree,1213,34670
1997,35 to 44 years,Male,Associate Degree,1475,42968
1997,45 to 54 years,Male,Associate Degree,1081,44431
1997,55 to 64 years,Male,Associate Degree,276,44129
1997,65 years and over,Male,Associate Degree,NA,NA
1997,18 to 24 years,Female,Associate Degree,295,19894
1997,25 to 34 years,Female,Associate Degree,1066,25431
1997,35 to 44 years,Female,Associate Degree,1277,31090
1997,45 to 54 years,Female,Associate Degree,903,35932
1997,55 to 64 years,Female,Associate Degree,262,30773
1997,65 years and over,Female,Associate Degree,NA,NA
1997,18 to 24 years,Male,Bachelor's Degree,306,28765
1997,25 to 34 years,Male,Bachelor's Degree,3125,45292
1997,35 to 44 years,Male,Bachelor's Degree,3435,60325
1997,45 to 54 years,Male,Bachelor's Degree,2612,62078
1997,55 to 64 years,Male,Bachelor's Degree,976,66063
1997,65 years and over,Male,Bachelor's Degree,201,53251
1997,18 to 24 years,Female,Bachelor's Degree,441,25955
1997,25 to 34 years,Female,Bachelor's Degree,2686,35348
1997,35 to 44 years,Female,Bachelor's Degree,2170,39800
1997,45 to 54 years,Female,Bachelor's Degree,1693,40428
1997,55 to 64 years,Female,Bachelor's Degree,524,36857
1997,65 years and over,Female,Bachelor's Degree,100,36334
1997,18 to 24 years,Male,Master's Degree,NA,NA
1997,25 to 34 years,Male,Master's Degree,587,57898
1997,35 to 44 years,Male,Master's Degree,1031,67451
1997,45 to 54 years,Male,Master's Degree,1110,77961
1997,55 to 64 years,Male,Master's Degree,451,81650
1997,65 years and over,Male,Master's Degree,NA,NA
1997,18 to 24 years,Female,Master's Degree,NA,NA
1997,25 to 34 years,Female,Master's Degree,556,38625
1997,35 to 44 years,Female,Master's Degree,727,49974
1997,45 to 54 years,Female,Master's Degree,812,50171
1997,55 to 64 years,Female,Master's Degree,295,42043
1997,65 years and over,Female,Master's Degree,NA,NA
1997,18 to 24 years,Male,Professional Degree,NA,NA
1997,25 to 34 years,Male,Professional Degree,200,70873
1997,35 to 44 years,Male,Professional Degree,430,117909
1997,45 to 54 years,Male,Professional Degree,407,116684
1997,55 to 64 years,Male,Professional Degree,221,186089
1997,65 years and over,Male,Professional Degree,NA,NA
1997,18 to 24 years,Female,Professional Degree,NA,NA
1997,25 to 34 years,Female,Professional Degree,148,63185
1997,35 to 44 years,Female,Professional Degree,162,93512
1997,45 to 54 years,Female,Professional Degree,123,70388
1997,55 to 64 years,Female,Professional Degree,NA,NA
1997,65 years and over,Female,Professional Degree,NA,NA
1997,18 to 24 years,Male,Doctorate Degree,NA,NA
1997,25 to 34 years,Male,Doctorate Degree,109,55799
1997,35 to 44 years,Male,Doctorate Degree,285,80952
1997,45 to 54 years,Male,Doctorate Degree,334,115284
1997,55 to 64 years,Male,Doctorate Degree,189,90295
1997,65 years and over,Male,Doctorate Degree,NA,NA
1997,18 to 24 years,Female,Doctorate Degree,NA,NA
1997,25 to 34 years,Female,Doctorate Degree,NA,NA
1997,35 to 44 years,Female,Doctorate Degree,110,76561
1997,45 to 54 years,Female,Doctorate Degree,121,50890
1997,55 to 64 years,Female,Doctorate Degree,NA,NA
1997,65 years and over,Female,Doctorate Degree,NA,NA
1997,18 to 24 years,Male,9th to 12th Grade (no diploma),499,15576
1997,25 to 34 years,Male,9th to 12th Grade (no diploma),1036,24517
1997,35 to 44 years,Male,9th to 12th Grade (no diploma),1149,26285
1997,45 to 54 years,Male,9th to 12th Grade (no diploma),761,35163
1997,55 to 64 years,Male,9th to 12th Grade (no diploma),521,36561
1997,65 years and over,Male,9th to 12th Grade (no diploma),81,32911
1997,18 to 24 years,Female,9th to 12th Grade (no diploma),206,13915
1997,25 to 34 years,Female,9th to 12th Grade (no diploma),389,18814
1997,35 to 44 years,Female,9th to 12th Grade (no diploma),520,19409
1997,45 to 54 years,Female,9th to 12th Grade (no diploma),437,18430
1997,55 to 64 years,Female,9th to 12th Grade (no diploma),347,19317
1997,65 years and over,Female,9th to 12th Grade (no diploma),NA,NA
1997,18 to 24 years,Male,"Some College, No Degree",993,21945
1997,25 to 34 years,Male,"Some College, No Degree",2699,32354
1997,35 to 44 years,Male,"Some College, No Degree",3134,40919
1997,45 to 54 years,Male,"Some College, No Degree",2295,45568
1997,55 to 64 years,Male,"Some College, No Degree",895,55987
1997,65 years and over,Male,"Some College, No Degree",146,54905
1997,18 to 24 years,Female,"Some College, No Degree",868,15506
1997,25 to 34 years,Female,"Some College, No Degree",1995,24127
1997,35 to 44 years,Female,"Some College, No Degree",2185,28561
1997,45 to 54 years,Female,"Some College, No Degree",1652,31350
1997,55 to 64 years,Female,"Some College, No Degree",699,29535
1997,65 years and over,Female,"Some College, No Degree",98,27596
1998,18 to 24 years,Male,Less than 9th Grade,160,34684
1998,25 to 34 years,Male,Less than 9th Grade,441,16443
1998,35 to 44 years,Male,Less than 9th Grade,509,23578
1998,45 to 54 years,Male,Less than 9th Grade,486,26620
1998,55 to 64 years,Male,Less than 9th Grade,354,26264
1998,65 years and over,Male,Less than 9th Grade,80,19120
1998,18 to 24 years,Female,Less than 9th Grade,NA,NA
1998,25 to 34 years,Female,Less than 9th Grade,143,15362
1998,35 to 44 years,Female,Less than 9th Grade,258,18289
1998,45 to 54 years,Female,Less than 9th Grade,249,18114
1998,55 to 64 years,Female,Less than 9th Grade,127,16140
1998,65 years and over,Female,Less than 9th Grade,NA,NA
1998,18 to 24 years,Male,High School Graduate (includes equivalency),2010,21096
1998,25 to 34 years,Male,High School Graduate (includes equivalency),4635,29281
1998,35 to 44 years,Male,High School Graduate (includes equivalency),5882,34786
1998,45 to 54 years,Male,High School Graduate (includes equivalency),3677,36867
1998,55 to 64 years,Male,High School Graduate (includes equivalency),1956,37257
1998,65 years and over,Male,High School Graduate (includes equivalency),291,38510
1998,18 to 24 years,Female,High School Graduate (includes equivalency),1247,17162
1998,25 to 34 years,Female,High School Graduate (includes equivalency),2555,22519
1998,35 to 44 years,Female,High School Graduate (includes equivalency),3813,24569
1998,45 to 54 years,Female,High School Graduate (includes equivalency),3286,25381
1998,55 to 64 years,Female,High School Graduate (includes equivalency),1696,26419
1998,65 years and over,Female,High School Graduate (includes equivalency),256,21858
1998,18 to 24 years,Male,Associate Degree,269,31296
1998,25 to 34 years,Male,Associate Degree,1247,36660
1998,35 to 44 years,Male,Associate Degree,1470,46537
1998,45 to 54 years,Male,Associate Degree,1258,43639
1998,55 to 64 years,Male,Associate Degree,327,60350
1998,65 years and over,Male,Associate Degree,NA,NA
1998,18 to 24 years,Female,Associate Degree,240,19171
1998,25 to 34 years,Female,Associate Degree,1068,27279
1998,35 to 44 years,Female,Associate Degree,1236,34128
1998,45 to 54 years,Female,Associate Degree,917,37153
1998,55 to 64 years,Female,Associate Degree,263,34618
1998,65 years and over,Female,Associate Degree,NA,NA
1998,18 to 24 years,Male,Bachelor's Degree,290,32676
1998,25 to 34 years,Male,Bachelor's Degree,3299,47536
1998,35 to 44 years,Male,Bachelor's Degree,3615,62147
1998,45 to 54 years,Male,Bachelor's Degree,2866,72790
1998,55 to 64 years,Male,Bachelor's Degree,1040,70085
1998,65 years and over,Male,Bachelor's Degree,238,64274
1998,18 to 24 years,Female,Bachelor's Degree,444,24275
1998,25 to 34 years,Female,Bachelor's Degree,2622,35982
1998,35 to 44 years,Female,Bachelor's Degree,2339,44912
1998,45 to 54 years,Female,Bachelor's Degree,1726,41959
1998,55 to 64 years,Female,Bachelor's Degree,523,40206
1998,65 years and over,Female,Bachelor's Degree,NA,NA
1998,18 to 24 years,Male,Master's Degree,NA,NA
1998,25 to 34 years,Male,Master's Degree,638,50738
1998,35 to 44 years,Male,Master's Degree,1074,80915
1998,45 to 54 years,Male,Master's Degree,1157,73908
1998,55 to 64 years,Male,Master's Degree,497,81398
1998,65 years and over,Male,Master's Degree,NA,NA
1998,18 to 24 years,Female,Master's Degree,NA,NA
1998,25 to 34 years,Female,Master's Degree,625,41022
1998,35 to 44 years,Female,Master's Degree,747,51762
1998,45 to 54 years,Female,Master's Degree,931,48871
1998,55 to 64 years,Female,Master's Degree,309,45361
1998,65 years and over,Female,Master's Degree,NA,NA
1998,18 to 24 years,Male,Professional Degree,NA,NA
1998,25 to 34 years,Male,Professional Degree,175,76926
1998,35 to 44 years,Male,Professional Degree,393,116800
1998,45 to 54 years,Male,Professional Degree,407,110692
1998,55 to 64 years,Male,Professional Degree,234,159548
1998,65 years and over,Male,Professional Degree,NA,NA
1998,18 to 24 years,Female,Professional Degree,NA,NA
1998,25 to 34 years,Female,Professional Degree,146,46403
1998,35 to 44 years,Female,Professional Degree,161,116525
1998,45 to 54 years,Female,Professional Degree,119,71655
1998,55 to 64 years,Female,Professional Degree,NA,NA
1998,65 years and over,Female,Professional Degree,NA,NA
1998,18 to 24 years,Male,Doctorate Degree,NA,NA
1998,25 to 34 years,Male,Doctorate Degree,123,69624
1998,35 to 44 years,Male,Doctorate Degree,313,79518
1998,45 to 54 years,Male,Doctorate Degree,303,106524
1998,55 to 64 years,Male,Doctorate Degree,197,107861
1998,65 years and over,Male,Doctorate Degree,NA,NA
1998,18 to 24 years,Female,Doctorate Degree,NA,NA
1998,25 to 34 years,Female,Doctorate Degree,NA,NA
1998,35 to 44 years,Female,Doctorate Degree,101,69122
1998,45 to 54 years,Female,Doctorate Degree,135,71362
1998,55 to 64 years,Female,Doctorate Degree,NA,NA
1998,65 years and over,Female,Doctorate Degree,NA,NA
1998,18 to 24 years,Male,9th to 12th Grade (no diploma),660,16586
1998,25 to 34 years,Male,9th to 12th Grade (no diploma),1120,22924
1998,35 to 44 years,Male,9th to 12th Grade (no diploma),1169,27094
1998,45 to 54 years,Male,9th to 12th Grade (no diploma),713,28896
1998,55 to 64 years,Male,9th to 12th Grade (no diploma),515,32109
1998,65 years and over,Male,9th to 12th Grade (no diploma),96,22028
1998,18 to 24 years,Female,9th to 12th Grade (no diploma),202,15729
1998,25 to 34 years,Female,9th to 12th Grade (no diploma),421,16309
1998,35 to 44 years,Female,9th to 12th Grade (no diploma),645,17291
1998,45 to 54 years,Female,9th to 12th Grade (no diploma),468,17766
1998,55 to 64 years,Female,9th to 12th Grade (no diploma),297,18089
1998,65 years and over,Female,9th to 12th Grade (no diploma),NA,NA
1998,18 to 24 years,Male,"Some College, No Degree",1105,20681
1998,25 to 34 years,Male,"Some College, No Degree",2675,34492
1998,35 to 44 years,Male,"Some College, No Degree",3086,43819
1998,45 to 54 years,Male,"Some College, No Degree",2419,45223
1998,55 to 64 years,Male,"Some College, No Degree",1072,45145
1998,65 years and over,Male,"Some College, No Degree",123,74479
1998,18 to 24 years,Female,"Some College, No Degree",969,17553
1998,25 to 34 years,Female,"Some College, No Degree",2027,25267
1998,35 to 44 years,Female,"Some College, No Degree",2283,29692
1998,45 to 54 years,Female,"Some College, No Degree",1850,31498
1998,55 to 64 years,Female,"Some College, No Degree",824,30590
1998,65 years and over,Female,"Some College, No Degree",83,28685
1999,18 to 24 years,Male,Less than 9th Grade,230,16853
1999,25 to 34 years,Male,Less than 9th Grade,533,20289
1999,35 to 44 years,Male,Less than 9th Grade,558,24138
1999,45 to 54 years,Male,Less than 9th Grade,496,23474
1999,55 to 64 years,Male,Less than 9th Grade,382,23962
1999,65 years and over,Male,Less than 9th Grade,126,22160
1999,18 to 24 years,Female,Less than 9th Grade,NA,NA
1999,25 to 34 years,Female,Less than 9th Grade,161,14379
1999,35 to 44 years,Female,Less than 9th Grade,298,17200
1999,45 to 54 years,Female,Less than 9th Grade,253,16605
1999,55 to 64 years,Female,Less than 9th Grade,163,18895
1999,65 years and over,Female,Less than 9th Grade,NA,NA
1999,18 to 24 years,Male,High School Graduate (includes equivalency),1887,20335
1999,25 to 34 years,Male,High School Graduate (includes equivalency),4768,31690
1999,35 to 44 years,Male,High School Graduate (includes equivalency),5820,37190
1999,45 to 54 years,Male,High School Graduate (includes equivalency),3871,39332
1999,55 to 64 years,Male,High School Graduate (includes equivalency),1953,39922
1999,65 years and over,Male,High School Graduate (includes equivalency),385,47116
1999,18 to 24 years,Female,High School Graduate (includes equivalency),1246,16667
1999,25 to 34 years,Female,High School Graduate (includes equivalency),2740,21610
1999,35 to 44 years,Female,High School Graduate (includes equivalency),3891,24227
1999,45 to 54 years,Female,High School Graduate (includes equivalency),3399,25731
1999,55 to 64 years,Female,High School Graduate (includes equivalency),1673,25970
1999,65 years and over,Female,High School Graduate (includes equivalency),281,20494
1999,18 to 24 years,Male,Associate Degree,237,23947
1999,25 to 34 years,Male,Associate Degree,1150,36986
1999,35 to 44 years,Male,Associate Degree,1564,48515
1999,45 to 54 years,Male,Associate Degree,1260,49534
1999,55 to 64 years,Male,Associate Degree,379,50923
1999,65 years and over,Male,Associate Degree,NA,NA
1999,18 to 24 years,Female,Associate Degree,186,19696
1999,25 to 34 years,Female,Associate Degree,1086,27968
1999,35 to 44 years,Female,Associate Degree,1294,33206
1999,45 to 54 years,Female,Associate Degree,1109,33279
1999,55 to 64 years,Female,Associate Degree,311,35014
1999,65 years and over,Female,Associate Degree,NA,NA
1999,18 to 24 years,Male,Bachelor's Degree,300,28446
1999,25 to 34 years,Male,Bachelor's Degree,3429,50922
1999,35 to 44 years,Male,Bachelor's Degree,3492,65682
1999,45 to 54 years,Male,Bachelor's Degree,3034,73528
1999,55 to 64 years,Male,Bachelor's Degree,1068,67684
1999,65 years and over,Male,Bachelor's Degree,229,61519
1999,18 to 24 years,Female,Bachelor's Degree,448,26196
1999,25 to 34 years,Female,Bachelor's Degree,2739,37565
1999,35 to 44 years,Female,Bachelor's Degree,2316,43422
1999,45 to 54 years,Female,Bachelor's Degree,1994,43265
1999,55 to 64 years,Female,Bachelor's Degree,573,42645
1999,65 years and over,Female,Bachelor's Degree,90,28246
1999,18 to 24 years,Male,Master's Degree,NA,NA
1999,25 to 34 years,Male,Master's Degree,672,61080
1999,35 to 44 years,Male,Master's Degree,1183,72676
1999,45 to 54 years,Male,Master's Degree,1299,82221
1999,55 to 64 years,Male,Master's Degree,562,81846
1999,65 years and over,Male,Master's Degree,NA,NA
1999,18 to 24 years,Female,Master's Degree,NA,NA
1999,25 to 34 years,Female,Master's Degree,605,45382
1999,35 to 44 years,Female,Master's Degree,787,51359
1999,45 to 54 years,Female,Master's Degree,1026,50936
1999,55 to 64 years,Female,Master's Degree,397,50950
1999,65 years and over,Female,Master's Degree,NA,NA
1999,18 to 24 years,Male,Professional Degree,NA,NA
1999,25 to 34 years,Male,Professional Degree,186,67481
1999,35 to 44 years,Male,Professional Degree,337,122627
1999,45 to 54 years,Male,Professional Degree,424,145144
1999,55 to 64 years,Male,Professional Degree,261,153027
1999,65 years and over,Male,Professional Degree,82,146622
1999,18 to 24 years,Female,Professional Degree,NA,NA
1999,25 to 34 years,Female,Professional Degree,157,63536
1999,35 to 44 years,Female,Professional Degree,151,78479
1999,45 to 54 years,Female,Professional Degree,126,73577
1999,55 to 64 years,Female,Professional Degree,NA,NA
1999,65 years and over,Female,Professional Degree,NA,NA
1999,18 to 24 years,Male,Doctorate Degree,NA,NA
1999,25 to 34 years,Male,Doctorate Degree,124,75582
1999,35 to 44 years,Male,Doctorate Degree,305,118483
1999,45 to 54 years,Male,Doctorate Degree,314,99582
1999,55 to 64 years,Male,Doctorate Degree,198,123506
1999,65 years and over,Male,Doctorate Degree,92,118668
1999,18 to 24 years,Female,Doctorate Degree,NA,NA
1999,25 to 34 years,Female,Doctorate Degree,NA,NA
1999,35 to 44 years,Female,Doctorate Degree,112,62625
1999,45 to 54 years,Female,Doctorate Degree,125,87734
1999,55 to 64 years,Female,Doctorate Degree,NA,NA
1999,65 years and over,Female,Doctorate Degree,NA,NA
1999,18 to 24 years,Male,9th to 12th Grade (no diploma),646,17477
1999,25 to 34 years,Male,9th to 12th Grade (no diploma),1055,22592
1999,35 to 44 years,Male,9th to 12th Grade (no diploma),1067,27185
1999,45 to 54 years,Male,9th to 12th Grade (no diploma),671,29628
1999,55 to 64 years,Male,9th to 12th Grade (no diploma),513,31444
1999,65 years and over,Male,9th to 12th Grade (no diploma),102,27215
1999,18 to 24 years,Female,9th to 12th Grade (no diploma),265,17718
1999,25 to 34 years,Female,9th to 12th Grade (no diploma),410,17663
1999,35 to 44 years,Female,9th to 12th Grade (no diploma),614,17432
1999,45 to 54 years,Female,9th to 12th Grade (no diploma),502,18437
1999,55 to 64 years,Female,9th to 12th Grade (no diploma),319,28432
1999,65 years and over,Female,9th to 12th Grade (no diploma),76,18395
1999,18 to 24 years,Male,"Some College, No Degree",1051,20931
